Order,Material,Material description,Created On,Release date (actual),Confirmed finish date,System Status,Order quantity (GMEIN),Delivered quantity (GMEIN),Change date,Status,Created On (bins),Closed Date,Closed Date (bins)
2100001495,90013767-0000000Z,,14-Nov-23,14-Nov-23,8-Dec-23,,375,375,1-Jan-24,TECO,November 2023,1/1/2024 0:00,12/31/2023
2100001498,90013767-00000A0Z,,14-Nov-23,14-Nov-23,18-Dec-23,,150,150,1-Jan-24,TECO,November 2023,1/1/2024 0:00,12/31/2023
2300000728,94023940-0000000Z,,25-Oct-23,25-Oct-23,27-Nov-23,,93,93,1-Jan-24,TECO,October 2023,1/1/2024 0:00,12/31/2023
2100001457,69213809-0300100Z,,25-Oct-23,25-Oct-23,27-Nov-23,,80,80,1-Jan-24,TECO,October 2023,1/1/2024 0:00,12/31/2023
2100001454,94023940-0000000Z,,24-Oct-23,24-Oct-23,,,1,0,1-Jan-24,TECO,October 2023,1/1/2024 0:00,12/31/2023
2100001429,90013767-0000000Z,,12-Oct-23,12-Oct-23,12-Dec-23,,480,480,1-Jan-24,TECO,October 2023,1/1/2024 0:00,12/31/2023
2100001426,90013767-0010000Z,,10-Oct-23,10-Oct-23,27-Nov-23,,1500,1500,1-Jan-24,TECO,October 2023,1/1/2024 0:00,12/31/2023
2300000724,94023940-0000000Z,,7-Oct-23,7-Oct-23,19-Oct-23,,36,36,1-Jan-24,TECO,October 2023,1/1/2024 0:00,12/31/2023
2100001423,94023940-0000000Z,,7-Oct-23,7-Oct-23,,,1,0,1-Jan-24,TECO,October 2023,1/1/2024 0:00,12/31/2023
2100001424,90013767-0040000Z,,7-Oct-23,7-Oct-23,28-Nov-23,,550,550,1-Jan-24,TECO,October 2023,1/1/2024 0:00,12/31/2023
2300000723,94023940-0000000Z,,22-Sep-23,22-Sep-23,6-Oct-23,,72,72,1-Jan-24,TECO,September 2023,1/1/2024 0:00,12/31/2023
2100001404,69213809-0300100Z,,22-Sep-23,22-Sep-23,12-Oct-23,,26,26,1-Jan-24,TECO,September 2023,1/1/2024 0:00,12/31/2023
2100001399,90082888-00800A0Z,,21-Sep-23,21-Sep-23,30-Oct-23,,6,6,1-Jan-24,TECO,September 2023,1/1/2024 0:00,12/31/2023
2100001402,90013701-0050000Z,,21-Sep-23,21-Sep-23,29-Nov-23,,524,524,1-Jan-24,TECO,September 2023,1/1/2024 0:00,12/31/2023
2100001387,90013767-0010000Z,,14-Sep-23,14-Sep-23,28-Nov-23,,500,500,1-Jan-24,TECO,September 2023,1/1/2024 0:00,12/31/2023
2100001388,90013767-0040000Z,,14-Sep-23,14-Sep-23,11-Dec-23,,500,500,1-Jan-24,TECO,September 2023,1/1/2024 0:00,12/31/2023
2300000722,94023940-0000000Z,,12-Sep-23,12-Sep-23,1-Oct-23,,411,411,1-Jan-24,TECO,September 2023,1/1/2024 0:00,12/31/2023
2300000714,94023940-0000000Z,,8-Sep-23,8-Sep-23,17-Sep-23,,70,70,1-Jan-24,TECO,September 2023,1/1/2024 0:00,12/31/2023
2100001361,69513740-001200AZ,,1-Sep-23,1-Sep-23,1-Oct-23,,120,120,1-Jan-24,TECO,September 2023,1/1/2024 0:00,12/31/2023
2100001359,90013767-00000A0Z,,31-Aug-23,31-Aug-23,17-Sep-23,,100,100,1-Jan-24,TECO,August 2023,1/1/2024 0:00,12/31/2023
2100001358,90013701-0040000Z,,30-Aug-23,30-Aug-23,28-Sep-23,,378,378,1-Jan-24,TECO,August 2023,1/1/2024 0:00,12/31/2023
2100001343,90013767-0010000Z,,19-Aug-23,19-Aug-23,1-Oct-23,,644,644,1-Jan-24,TECO,August 2023,1/1/2024 0:00,12/31/2023
2100001336,69513740-0012000Z,,13-Aug-23,13-Aug-23,,,1,0,1-Jan-24,TECO,August 2023,1/1/2024 0:00,12/31/2023
2100001332,69513740-0012000Z,,11-Aug-23,11-Aug-23,,,1,0,1-Jan-24,TECO,August 2023,1/1/2024 0:00,12/31/2023
2100001326,90013767-0000000Z,,9-Aug-23,9-Aug-23,17-Sep-23,,1000,1000,1-Jan-24,TECO,August 2023,1/1/2024 0:00,12/31/2023
2100001327,90013767-0040000Z,,9-Aug-23,9-Aug-23,17-Sep-23,,842,842,1-Jan-24,TECO,August 2023,1/1/2024 0:00,12/31/2023
2100001322,69913809-0100100Z,,8-Aug-23,8-Aug-23,21-Nov-23,,548,548,1-Jan-24,TECO,August 2023,1/1/2024 0:00,12/31/2023
2300000710,94023940-0000000Z,,4-Aug-23,5-Aug-23,16-Oct-23,,90,90,1-Jan-24,TECO,August 2023,1/1/2024 0:00,12/31/2023
2100001319,94023940-0000000Z,,4-Aug-23,4-Aug-23,,,1,0,1-Jan-24,TECO,August 2023,1/1/2024 0:00,12/31/2023
2100001310,69913809-0100100Z,,27-Jul-23,27-Jul-23,21-Nov-23,,500,500,1-Jan-24,TECO,July 2023,1/1/2024 0:00,12/31/2023
2100001304,90013701-0040000Z,,26-Jul-23,26-Jul-23,4-Sep-23,,500,500,1-Jan-24,TECO,July 2023,1/1/2024 0:00,12/31/2023
2100001305,90013701-0050000Z,,26-Jul-23,26-Jul-23,21-Nov-23,,476,476,1-Jan-24,TECO,July 2023,1/1/2024 0:00,12/31/2023
2100001306,90013767-0000000Z,,26-Jul-23,26-Jul-23,4-Sep-23,,900,900,1-Jan-24,TECO,July 2023,1/1/2024 0:00,12/31/2023
2300000704,94023940-0000000Z,,24-Jul-23,24-Jul-23,1-Aug-23,,120,120,1-Jan-24,TECO,July 2023,1/1/2024 0:00,12/31/2023
2100001302,69513740-0012000Z,,24-Jul-23,24-Jul-23,8-Nov-23,,50,50,1-Jan-24,TECO,July 2023,1/1/2024 0:00,12/31/2023
2100001292,90013767-0030000Z,,18-Jul-23,18-Jul-23,4-Sep-23,,872,872,1-Jan-24,TECO,July 2023,1/1/2024 0:00,12/31/2023
2100001293,90013767-0040000Z,,18-Jul-23,18-Jul-23,4-Sep-23,,1008,1008,1-Jan-24,TECO,July 2023,1/1/2024 0:00,12/31/2023
2100001290,90013701-00500A0Z,,14-Jul-23,14-Jul-23,21-Aug-23,,187,187,1-Jan-24,TECO,July 2023,1/1/2024 0:00,12/31/2023
2100001285,90013767-00000A0Z,,11-Jul-23,11-Jul-23,30-Jul-23,,606,606,1-Jan-24,TECO,July 2023,1/1/2024 0:00,12/31/2023
2100001286,90013767-0010000Z,,11-Jul-23,11-Jul-23,30-Aug-23,,900,900,1-Jan-24,TECO,July 2023,1/1/2024 0:00,12/31/2023
2100001269,90013701-0040000Z,,3-Jul-23,3-Jul-23,30-Jul-23,,230,230,1-Jan-24,TECO,July 2023,1/1/2024 0:00,12/31/2023
2100001258,69913809-0100100Z,,21-Jun-23,21-Jun-23,27-Jul-23,,120,120,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001257,90082888-0080000Z,,17-Jun-23,17-Jun-23,6-Aug-23,,362,362,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001255,90013701-0080000Z,,16-Jun-23,16-Jun-23,6-Aug-23,,908,908,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001256,90013701-0050000Z,,16-Jun-23,16-Jun-23,13-Jul-23,,298,298,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001250,90013701-0080000Z,,13-Jun-23,13-Jun-23,9-Jul-23,,700,700,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001243,90013767-0030000Z,,8-Jun-23,8-Jun-23,9-Jul-23,,250,250,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001244,90013767-0040000Z,,8-Jun-23,8-Jun-23,13-Jul-23,,250,250,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001234,90013767-0030000Z,,6-Jun-23,6-Jun-23,27-Jun-23,,50,50,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001235,90013767-0040000Z,,6-Jun-23,6-Jun-23,2-Jul-23,,50,50,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001236,90013701-0040000Z,,6-Jun-23,6-Jun-23,9-Jul-23,,350,350,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001232,90013767-0000000Z,,5-Jun-23,5-Jun-23,13-Jul-23,,8,8,1-Jan-24,TECO,June 2023,1/1/2024 0:00,12/31/2023
2100001176,90013701-0050000Z,,20-May-23,20-May-23,27-Jun-23,,406,406,1-Jan-24,TECO,May 2023,1/1/2024 0:00,12/31/2023
2100001174,90013701-0080000Z,,18-May-23,18-May-23,15-Jun-23,,250,250,1-Jan-24,TECO,May 2023,1/1/2024 0:00,12/31/2023
2100001173,90013767-0000000Z,,17-May-23,17-May-23,13-Jul-23,,10,10,1-Jan-24,TECO,May 2023,1/1/2024 0:00,12/31/2023
2100001167,90013701-00500A0Z,,9-May-23,9-May-23,11-Jun-23,,300,300,1-Jan-24,TECO,May 2023,1/1/2024 0:00,12/31/2023
2100001141,90013701-0080000Z,,1-May-23,2-May-23,4-Jun-23,,50,50,1-Jan-24,TECO,May 2023,1/1/2024 0:00,12/31/2023
2100001139,90082888-0080000Z,,27-Apr-23,27-Apr-23,,,1,0,1-Jan-24,TECO,April 2023,1/1/2024 0:00,12/31/2023
2100001134,90013767-0000000Z,,26-Apr-23,26-Apr-23,13-Jul-23,,50,50,1-Jan-24,TECO,April 2023,1/1/2024 0:00,12/31/2023
2100001125,90013701-0040000Z,,18-Apr-23,18-Apr-23,28-May-23,,250,250,1-Jan-24,TECO,April 2023,1/1/2024 0:00,12/31/2023
2100001115,90013701-0050000Z,,11-Apr-23,11-Apr-23,28-May-23,,250,250,1-Jan-24,TECO,April 2023,1/1/2024 0:00,12/31/2023
2100001113,90013701-0050000Z,,8-Apr-23,14-Apr-23,,,1,0,1-Jan-24,TECO,April 2023,1/1/2024 0:00,12/31/2023
2100001110,90082888-00800A0Z,,6-Apr-23,6-Apr-23,18-May-23,,955,955,1-Jan-24,TECO,April 2023,1/1/2024 0:00,12/31/2023
2100001108,90013701-0040000Z,,4-Apr-23,4-Apr-23,18-May-23,,50,50,1-Jan-24,TECO,April 2023,1/1/2024 0:00,12/31/2023
2100001103,69213809-0300100Z,,3-Apr-23,3-Apr-23,27-Jun-23,,243,243,1-Jan-24,TECO,April 2023,1/1/2024 0:00,12/31/2023
2100001100,69213809-0300000Z,,30-Mar-23,3-Apr-23,,,1,0,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001101,90013767-0000000Z,,30-Mar-23,30-Mar-23,13-Jul-23,,250,250,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001102,90013767-0010000Z,,30-Mar-23,30-Mar-23,13-Jul-23,,250,250,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001097,90013701-0050000Z,,29-Mar-23,29-Mar-23,18-May-23,,50,50,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001098,9006G189-0010310Z,,29-Mar-23,29-Mar-23,,,1,0,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001093,90082888-0080000Z,,24-Mar-23,24-Mar-23,,,1,0,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001087,90013767-0010000Z,,19-Mar-23,19-Mar-23,16-Apr-23,,50,50,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001084,90013767-0000000Z,,16-Mar-23,16-Mar-23,,,1,0,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001083,90082888-0080000Z,,13-Mar-23,13-Mar-23,,,1,0,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001081,90013767-0000000Z,,10-Mar-23,14-Mar-23,16-Apr-23,,50,50,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001080,90082888-0080000Z,,8-Mar-23,8-Mar-23,,,1,0,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001078,90082888-0080000Z,,7-Mar-23,7-Mar-23,,,1,0,1-Jan-24,TECO,March 2023,1/1/2024 0:00,12/31/2023
2100001065,90082888-0080000Z,,24-Feb-23,24-Feb-23,20-Apr-23,,250,250,1-Jan-24,TECO,February 2023,1/1/2024 0:00,12/31/2023
2100001048,90082888-0080000Z,,9-Feb-23,15-Feb-23,15-Mar-23,,50,50,1-Jan-24,TECO,February 2023,1/1/2024 0:00,12/31/2023
2100001025,9006G189-0010310Z,,25-Jan-23,12-Feb-23,,,1,0,1-Jan-24,TECO,January 2023,1/1/2024 0:00,12/31/2023
2100000997,9006G189-0010310Z,,29-Dec-22,29-Dec-22,,,920,917,1-Jan-24,TECO,December 2022,1/1/2024 0:00,12/31/2023
2100000996,9006G189-0010310Z,,21-Dec-22,21-Dec-22,29-Jan-23,,500,500,1-Jan-24,TECO,December 2022,1/1/2024 0:00,12/31/2023
2100000978,9006G189-0010310Z,,28-Nov-22,28-Nov-22,10-Jan-23,,1580,1580,1-Jan-24,TECO,November 2022,1/1/2024 0:00,12/31/2023
2300000621,9006G189-0010310Z,,9-Nov-22,9-Nov-22,,,1,0,1-Jan-24,TECO,November 2022,1/1/2024 0:00,12/31/2023
2100000966,9006G189-0010310Z,,9-Nov-22,9-Nov-22,13-Mar-23,,600,600,1-Jan-24,TECO,November 2022,1/1/2024 0:00,12/31/2023
2100000928,9006G189-0010310Z,,4-Oct-22,4-Oct-22,10-Jan-23,,45,45,1-Jan-24,TECO,October 2022,1/1/2024 0:00,12/31/2023
2100000922,9006G189-0010310Z,,24-Sep-22,24-Sep-22,10-Jan-23,,300,300,1-Jan-24,TECO,September 2022,1/1/2024 0:00,12/31/2023
2100000912,9006G189-0010310Z,,6-Sep-22,,,,1,0,1-Jan-24,TECO,September 2022,1/1/2024 0:00,12/31/2023
2100000913,9006G189-0010310Z,,6-Sep-22,,,,1,0,1-Jan-24,TECO,September 2022,1/1/2024 0:00,12/31/2023
2100000911,9006G189-0010310Z,,5-Sep-22,,,,1,0,1-Jan-24,TECO,September 2022,1/1/2024 0:00,12/31/2023
2100000778,9006G189-0010310Z,,14-Jun-22,14-Jun-22,17-Jul-22,,580,580,1-Jan-24,TECO,June 2022,1/1/2024 0:00,12/31/2023
2100000745,9006G189-0010310Z,,24-May-22,24-May-22,26-Jun-22,,800,800,1-Jan-24,TECO,May 2022,1/1/2024 0:00,12/31/2023
2100000730,9006G189-0010310Z,,12-May-22,12-May-22,20-Jun-22,,1200,1200,1-Jan-24,TECO,May 2022,1/1/2024 0:00,12/31/2023
2100000719,9006G189-0010310Z,,2-May-22,2-May-22,15-Aug-22,,1100,1100,1-Jan-24,TECO,May 2022,1/1/2024 0:00,12/31/2023
2300000541,94013904-0000000Z,,26-Apr-22,26-Apr-22,,,1,0,1-Jan-24,TECO,April 2022,1/1/2024 0:00,12/31/2023
2100000710,9006G189-0010310Z,,25-Apr-22,25-Apr-22,22-May-22,,400,400,1-Jan-24,TECO,April 2022,1/1/2024 0:00,12/31/2023
2100000664,9006G189-0010310Z,,30-Mar-22,30-Mar-22,9-May-22,,400,400,1-Jan-24,TECO,March 2022,1/1/2024 0:00,12/31/2023
2100000618,9006G189-0010310Z,,22-Feb-22,22-Feb-22,28-Apr-22,,2100,2100,1-Jan-24,TECO,February 2022,1/1/2024 0:00,12/31/2023
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
